,user,topic0,topic1,topic2,topic3,cluster
0,NCDCgov,93,114,116,121,0
0,bonsuman,130,120,130,124,0
0,HAlThawadi,31,33,30,34,1
0,NeeleyEunice,102,90,93,85,0
0,julietkego,105,116,123,105,0
0,nemanigeria,123,110,93,119,0
0,PowerMinNigeria,36,37,41,34,1
0,ch9,135,113,116,126,0
0,agnesbinagwaho,124,128,113,118,0
0,MSpicuzzaMJS,123,119,121,115,0
0,OfficialFCTA,102,109,108,106,0
0,BounouarJalal,79,73,82,92,0
0,Nico_Lang,127,124,124,103,0
0,cityshopgirl,128,120,106,106,0
0,WilliamYang120,135,117,114,122,0
